property_type,price,location,latitude,longitude,baths,bedrooms,date_added,area_sqft
Flat,14000000,Saddar Town,24.860389,67.027795,4,4,2019-05-06,2450.25
House,49500000,Malir,24.89321,67.195473,5,4,2019-06-27,3811.5
Flat,4100000,North Karachi,24.965828,67.062515,2,4,2019-01-18,925.65
Flat,3400000,Anda Mor Road,24.964946,67.056945,2,2,2019-03-19,789.525
Penthouse,15000000,Gulshan-e-Iqbal Town,24.91567,67.083628,3,3,2019-07-02,2069.1
Flat,39000000,Gulshan-e-Iqbal Town,24.896947,67.071962,5,4,2019-07-02,2668.05
Flat,4666000,Fazaia Housing Scheme,25.03743275,67.1361208,2,2,2019-05-06,1579.05
Flat,4848000,Scheme 33,24.974996,67.133599,3,3,2019-05-06,980.1
House,95000000,Cantt,24.959894,67.188631,6,7,2019-06-05,5989.500000000001
House,40000000,Gulshan-e-Iqbal Town,24.939604,67.09591,4,3,2019-06-26,4356.0
House,8500000,Malir,24.89321,67.195473,5,4,2019-05-06,1089.0
House,90000000,Navy Housing Scheme Karsaz,24.893299,67.103462,6,5,2019-07-01,3811.5
Flat,72500000,DHA Defence,24.751578,67.072125,4,4,2019-06-05,4954.95
Flat,55000000,DHA Defence,24.782215,67.074537,5,4,2019-06-30,3212.55
House,7000000,North Karachi,24.969758,67.072692,3,3,2019-06-07,925.65
Flat,17000000,Clifton,24.813927,67.01261,3,3,2019-06-29,1687.95
Flat,1700000,Lyari Town,24.854899,66.991868,2,2,2019-02-17,871.2
Flat,22000000,DHA Defence,24.800643,67.064703,4,3,2019-04-09,2178.0
House,11000000,North Karachi,24.969758,67.072692,5,5,2019-07-18,898.425
Flat,7000000,DHA Defence,24.832117,67.063637,2,2,2019-07-18,1334.025
Flat,5049000,Scheme 33,24.978512,67.129835,2,2,2019-06-05,1089.0
Flat,8000000,DHA Defence,24.801072,67.036729,2,2,2019-06-14,1279.575
Flat,7800000,DHA Defence,24.83242,67.068866,2,3,2019-07-01,1197.9
Flat,22500000,DHA Defence,24.800643,67.064703,3,3,2019-06-14,1824.075
Flat,103500000,Clifton,24.813927,67.01261,4,4,2019-06-30,5009.4
Flat,30000000,DHA Defence,24.752502,67.074019,2,2,2019-06-30,1987.425
Flat,53000000,DHA Defence,24.782215,67.074537,4,4,2019-06-30,3185.325
House,6500000,North Nazimabad,24.929369,67.045226,2,3,2019-07-10,871.2
Flat,55000000,DHA Defence,24.782215,67.074537,5,4,2019-06-30,3185.325
Flat,8000000,Gulistan-e-Jauhar,24.92463684,67.14190674,3,3,2019-06-14,2069.1
Flat,15000000,DHA Defence,24.800643,67.064703,3,3,2019-06-07,1524.6
Flat,22500000,DHA Defence,24.800643,67.064703,4,3,2019-06-14,2477.475
Flat,32500000,DHA Defence,24.824093,67.061405,4,3,2019-06-14,2178.0
