property_type,price,location,latitude,longitude,baths,bedrooms,date_added,area_sqft,price_per_sqft,affordability_years,estimated_price_2026,affordability_years_2026,affordability_change,market_tier,price_per_marla,Month_Year
House,77500000,Cantt,24.959894,67.188631,9,8,2019-06-14,5989.500000000001,12939.310459971615,293.56060606060606,188402500.0,365.12112403100775,71.56051797040169,Elite,3522727.272727272,2019-06
House,120000000,Gulshan-e-Iqbal Town,24.882174,67.067306,7,6,2019-02-04,4356.0,27548.209366391184,454.54545454545456,291720000.0,565.3488372093024,110.8033826638478,Middle Class,7500000.0,2019-02
House,120000000,DHA Defence,24.805045,67.064323,3,4,2019-06-30,3049.2,39354.58480913027,454.54545454545456,291720000.0,565.3488372093024,110.8033826638478,Elite,10714285.714285715,2019-06
Flat,75000000,DHA Defence,24.752502,67.074019,5,4,2019-06-21,4301.55,17435.57554834885,284.09090909090907,182325000.0,353.34302325581393,69.25211416490487,Elite,4746835.443037975,2019-06
House,95000000,Gulshan-e-Iqbal Town,24.90628,67.086254,5,5,2019-02-17,6534.0,14539.332721150902,359.8484848484849,230945000.0,447.5678294573643,87.71934460887945,Middle Class,3958333.3333333335,2019-02
Flat,35100000,Cantt,24.937425,67.182856,3,3,2019-06-20,3321.45,10567.673756943504,132.95454545454547,85328100.0,165.36453488372092,32.409989429175454,Elite,2877049.180327869,2019-06
House,70000000,Cantt,24.959894,67.188631,6,6,2019-05-06,5989.500000000001,11687.119125135652,265.1515151515151,170170000.0,329.78682170542635,64.63530655391122,Elite,3181818.181818181,2019-05
House,60000000,Cantt,24.937425,67.182856,5,4,2019-06-20,5445.0,11019.283746556473,227.27272727272728,145860000.0,282.6744186046512,55.4016913319239,Elite,3000000.0,2019-06
Flat,48000000,Clifton,24.825028,67.031579,5,3,2019-07-03,2804.175,17117.333975233356,181.8181818181818,116688000.0,226.13953488372093,44.321353065539114,Elite,4660194.174757281,2019-07
Flat,50000000,Clifton,24.82502747,67.03157806,5,3,2019-07-03,2804.175,17830.556224201413,189.3939393939394,121550000.0,235.56201550387595,46.16807610993655,Elite,4854368.932038834,2019-07
House,110000000,Gulshan-e-Iqbal Town,24.90628,67.086254,6,6,2019-02-17,8167.5,13468.013468013469,416.6666666666667,267410000.0,518.2364341085271,101.56976744186039,Middle Class,3666666.6666666665,2019-02
House,12500000,Northern Bypass,25.07576,67.105412,5,4,2019-05-06,2994.75,4173.971116119877,47.34848484848485,30387500.0,58.89050387596899,11.542019027484137,Other,1136363.6363636365,2019-05
House,9205000,Fazaia Housing Scheme,25.07588167,67.10603714,4,3,2019-05-06,2994.75,3073.712329910677,34.86742424242424,22377355.0,43.36696705426357,8.499542811839326,Other,836818.1818181818,2019-05
Flat,6100000,Gulshan-e-Iqbal Town,24.908304,67.080631,2,2,2019-03-10,1007.325,6055.642419278783,23.106060606060606,14829100.0,28.738565891472867,5.632505285412261,Middle Class,1648648.6486486485,2019-03
House,150000000,Gulshan-e-Iqbal Town,24.90628,67.086254,7,7,2019-02-17,10890.0,13774.104683195592,568.1818181818181,364650000.0,706.6860465116279,138.50422832980973,Middle Class,3750000.0,2019-02
House,110000000,North Nazimabad,24.935635,67.05102,8,8,2019-07-03,8167.5,13468.013468013469,416.6666666666667,267410000.0,518.2364341085271,101.56976744186039,Middle Class,3666666.6666666665,2019-07
Flat,9500000,North Nazimabad,24.932405,67.030249,4,3,2019-02-17,1633.5,5815.733088460362,35.984848484848484,23094500.0,44.75678294573643,8.771934460887948,Middle Class,1583333.3333333333,2019-02
Flat,3500000,Abul Hassan Isphani Road,24.941817,67.098056,3,5,2019-06-27,1388.475,2520.7511838527885,13.257575757575758,8508500.0,16.489341085271317,3.231765327695559,Other,686274.5098039216,2019-06
House,40000000,New Karachi,24.989559,67.067714,5,4,2019-01-18,1306.8,30609.12151821243,151.5151515151515,97240000.0,188.4496124031008,36.934460887949285,Other,8333333.333333334,2019-01
House,70000000,Cantt,24.937425,67.182856,6,5,2019-04-09,5445.0,12855.831037649219,265.1515151515151,170170000.0,329.78682170542635,64.63530655391122,Elite,3500000.0,2019-04
Flat,22000000,DHA Defence,24.810265,67.04355,3,3,2019-05-06,2178.0,10101.0101010101,83.33333333333333,53482000.0,103.64728682170542,20.313953488372093,Elite,2750000.0,2019-05
Flat,32000000,Khalid Bin Walid Road,24.874922,67.057322,4,4,2019-05-06,2776.95,11523.433983327031,121.21212121212122,77792000.0,150.75968992248062,29.5475687103594,Other,3137254.9019607846,2019-05
House,70000000,Shaheed Millat Road,24.876976,67.069237,4,4,2019-05-06,2395.8,29217.797812839133,265.1515151515151,170170000.0,329.78682170542635,64.63530655391122,Other,7954545.454545454,2019-05
Flat,8500000,Scheme 33,24.962737,67.128568,3,3,2019-07-04,1824.075,4659.896111727862,32.196969696969695,20663500.0,40.04554263565891,7.848572938689216,Upper Middle,1268656.7164179103,2019-07
Flat,14000000,Saddar Town,24.860389,67.027795,4,4,2019-05-06,2450.25,5713.702683399653,53.03030303030303,34034000.0,65.95736434108527,12.927061310782236,Middle Class,1555555.5555555555,2019-05
House,49500000,Malir,24.89321,67.195473,5,4,2019-06-27,3811.5,12987.012987012988,187.5,120334500.0,233.20639534883722,45.70639534883722,Affordable,3535714.285714286,2019-06
Flat,4100000,North Karachi,24.965828,67.062515,2,4,2019-01-18,925.65,4429.319937341328,15.530303030303031,9967100.0,19.316085271317828,3.7857822410147968,Middle Class,1205882.3529411764,2019-01
Flat,3400000,Anda Mor Road,24.964946,67.056945,2,2,2019-03-19,789.525,4306.386751527817,12.878787878787879,8265400.0,16.018217054263566,3.139429175475687,Other,1172413.7931034483,2019-03
Penthouse,15000000,Gulshan-e-Iqbal Town,24.91567,67.083628,3,3,2019-07-02,2069.1,7249.528780629259,56.81818181818182,36465000.0,70.6686046511628,13.850422832980975,Middle Class,1973684.210526316,2019-07
Flat,39000000,Gulshan-e-Iqbal Town,24.896947,67.071962,5,4,2019-07-02,2668.05,14617.41721481981,147.72727272727272,94809000.0,183.73837209302326,36.01109936575054,Middle Class,3979591.8367346935,2019-07
Flat,4666000,Fazaia Housing Scheme,25.03743275,67.1361208,2,2,2019-05-06,1579.05,2954.9412621512934,17.674242424242426,11343046.0,21.982647286821706,4.30840486257928,Other,804482.7586206896,2019-05
Flat,4848000,Scheme 33,24.974996,67.133599,3,3,2019-05-06,980.1,4946.434037343128,18.363636363636363,11785488.0,22.840093023255815,4.476456659619451,Upper Middle,1346666.6666666667,2019-05
House,95000000,Cantt,24.959894,67.188631,6,7,2019-06-05,5989.500000000001,15861.090241255528,359.8484848484849,230945000.0,447.5678294573643,87.71934460887945,Elite,4318181.818181817,2019-06
House,40000000,Gulshan-e-Iqbal Town,24.939604,67.09591,4,3,2019-06-26,4356.0,9182.736455463728,151.5151515151515,97240000.0,188.4496124031008,36.934460887949285,Middle Class,2500000.0,2019-06
House,8500000,Malir,24.89321,67.195473,5,4,2019-05-06,1089.0,7805.325987144169,32.196969696969695,20663500.0,40.04554263565891,7.848572938689216,Affordable,2125000.0,2019-05
House,90000000,Navy Housing Scheme Karsaz,24.893299,67.103462,6,5,2019-07-01,3811.5,23612.75088547816,340.90909090909093,218790000.0,424.01162790697674,83.1025369978858,Upper Middle,6428571.428571428,2019-07
Flat,72500000,DHA Defence,24.751578,67.072125,4,4,2019-06-05,4954.95,14631.832813650995,274.6212121212121,176247500.0,341.56492248062017,66.94371035940804,Elite,3983516.4835164836,2019-06
Flat,55000000,DHA Defence,24.782215,67.074537,5,4,2019-06-30,3212.55,17120.35610340695,208.33333333333334,133705000.0,259.11821705426354,50.784883720930196,Elite,4661016.949152542,2019-06
House,7000000,North Karachi,24.969758,67.072692,3,3,2019-06-07,925.65,7562.253551558365,26.515151515151516,17017000.0,32.97868217054263,6.463530655391118,Middle Class,2058823.5294117648,2019-06
Flat,17000000,Clifton,24.813927,67.01261,3,3,2019-06-29,1687.95,10071.388370508605,64.39393939393939,41327000.0,80.09108527131782,15.697145877378432,Elite,2741935.4838709678,2019-06
Flat,1700000,Lyari Town,24.854899,66.991868,2,2,2019-02-17,871.2,1951.3314967860422,6.4393939393939394,4132700.0,8.009108527131783,1.5697145877378436,Other,531250.0,2019-02
Flat,22000000,DHA Defence,24.800643,67.064703,4,3,2019-04-09,2178.0,10101.0101010101,83.33333333333333,53482000.0,103.64728682170542,20.313953488372093,Elite,2750000.0,2019-04
House,11000000,North Karachi,24.969758,67.072692,5,5,2019-07-18,898.425,12243.648607284971,41.666666666666664,26741000.0,51.82364341085271,10.156976744186046,Middle Class,3333333.3333333335,2019-07
Flat,7000000,DHA Defence,24.832117,67.063637,2,2,2019-07-18,1334.025,5247.277974550701,26.515151515151516,17017000.0,32.97868217054263,6.463530655391118,Elite,1428571.4285714284,2019-07
Flat,5049000,Scheme 33,24.978512,67.129835,2,2,2019-06-05,1089.0,4636.363636363636,19.125,12274119.0,23.787052325581396,4.662052325581396,Upper Middle,1262250.0,2019-06
Flat,8000000,DHA Defence,24.801072,67.036729,2,2,2019-06-14,1279.575,6252.075884571049,30.303030303030305,19448000.0,37.689922480620154,7.38689217758985,Elite,1702127.659574468,2019-06
Flat,7800000,DHA Defence,24.83242,67.068866,2,3,2019-07-01,1197.9,6511.394941147007,29.545454545454547,18961800.0,36.74767441860465,7.202219873150106,Elite,1772727.2727272725,2019-07
Flat,22500000,DHA Defence,24.800643,67.064703,3,3,2019-06-14,1824.075,12335.019119279634,85.22727272727273,54697500.0,106.00290697674419,20.77563424947145,Elite,3358208.9552238807,2019-06
Flat,103500000,Clifton,24.813927,67.01261,4,4,2019-06-30,5009.4,20661.15702479339,392.04545454545456,251608500.0,487.61337209302326,95.5679175475687,Elite,5625000.0,2019-06
Flat,30000000,DHA Defence,24.752502,67.074019,2,2,2019-06-30,1987.425,15094.909241858184,113.63636363636364,72930000.0,141.3372093023256,27.70084566596195,Elite,4109589.0410958906,2019-06
Flat,53000000,DHA Defence,24.782215,67.074537,4,4,2019-06-30,3185.325,16638.804517592398,200.75757575757575,128843000.0,249.69573643410854,48.93816067653279,Elite,4529914.52991453,2019-06
House,6500000,North Nazimabad,24.929369,67.045226,2,3,2019-07-10,871.2,7460.973370064279,24.62121212121212,15801500.0,30.623062015503876,6.001849894291755,Middle Class,2031250.0,2019-07
Flat,55000000,DHA Defence,24.782215,67.074537,5,4,2019-06-30,3185.325,17266.6839333506,208.33333333333334,133705000.0,259.11821705426354,50.784883720930196,Elite,4700854.700854701,2019-06
Flat,8000000,Gulistan-e-Jauhar,24.92463684,67.14190674,3,3,2019-06-14,2069.1,3866.4153496689382,30.303030303030305,19448000.0,37.689922480620154,7.38689217758985,Middle Class,1052631.5789473685,2019-06
Flat,15000000,DHA Defence,24.800643,67.064703,3,3,2019-06-07,1524.6,9838.646202282567,56.81818181818182,36465000.0,70.6686046511628,13.850422832980975,Elite,2678571.4285714286,2019-06
Flat,22500000,DHA Defence,24.800643,67.064703,4,3,2019-06-14,2477.475,9081.827263645446,85.22727272727273,54697500.0,106.00290697674419,20.77563424947145,Elite,2472527.472527473,2019-06
Flat,32500000,DHA Defence,24.824093,67.061405,4,3,2019-06-14,2178.0,14921.946740128558,123.10606060606061,79007500.0,153.11531007751938,30.009249471458773,Elite,4062500.0,2019-06
Flat,8000000,Gulistan-e-Jauhar,24.924636,67.141903,3,3,2019-06-14,2069.1,3866.4153496689382,30.303030303030305,19448000.0,37.689922480620154,7.38689217758985,Middle Class,1052631.5789473685,2019-06
House,43500000,DHA Defence,24.782215,67.074537,5,4,2019-06-14,1089.0,39944.903581267215,164.77272727272728,105748500.0,204.9389534883721,40.166226215644826,Elite,10875000.0,2019-06
House,72500000,North Nazimabad,24.941744,67.053638,8,8,2019-06-20,4900.5,14794.408733802673,274.6212121212121,176247500.0,341.56492248062017,66.94371035940804,Middle Class,4027777.777777778,2019-06
Flat,50000000,Bath Island,24.83566093,67.0286026,5,3,2019-07-03,2804.175,17830.556224201413,189.3939393939394,121550000.0,235.56201550387595,46.16807610993655,Elite,4854368.932038834,2019-07
House,90000000,Gulshan-e-Iqbal Town,24.91672708,67.08287172,8,6,2018-10-07,6534.0,13774.104683195592,340.90909090909093,218790000.0,424.01162790697674,83.1025369978858,Middle Class,3750000.0,2018-10
Flat,22500000,DHA Defence,24.798481,67.045716,4,3,2019-07-01,2205.225,10203.040506070809,85.22727272727273,54697500.0,106.00290697674419,20.77563424947145,Elite,2777777.777777778,2019-07
Flat,13000000,Gulshan-e-Iqbal Town,24.907068,67.094915,4,3,2019-07-02,2423.025,5365.194333529369,49.24242424242424,31603000.0,61.24612403100775,12.00369978858351,Middle Class,1460674.1573033708,2019-07
Flat,11500000,Gulistan-e-Jauhar,24.924636,67.141903,3,3,2019-06-16,2913.075,3947.7184761806684,43.56060606060606,27956500.0,54.179263565891475,10.618657505285412,Middle Class,1074766.355140187,2019-06
Flat,4790000,Bahria Town Karachi,24.86551,67.056105,2,2,2019-06-21,1143.45,4189.076916349643,18.143939393939394,11644490.0,22.566841085271317,4.422901691331923,Upper Middle,1140476.1904761905,2019-06
House,3200000,Gadap Town,25.037472,67.07222,3,4,2019-02-17,762.3,4197.822379640562,12.121212121212121,7779200.0,15.075968992248063,2.9547568710359418,Affordable,1142857.142857143,2019-02
Flat,6000000,Bahria Town Karachi,25.020961,67.321172,2,2,2019-05-09,1143.45,5247.277974550701,22.727272727272727,14586000.0,28.267441860465116,5.540169133192389,Upper Middle,1428571.4285714284,2019-05
Flat,18000000,Gulshan-e-Iqbal Town,24.898465,67.0625,2,3,2019-07-10,1987.425,9056.94554511491,68.18181818181819,43758000.0,84.80232558139535,16.620507399577164,Middle Class,2465753.4246575343,2019-07
Flat,12400000,Defence View Society,24.834128,67.078099,2,2,2019-02-17,1279.575,9690.717621085125,46.96969696969697,30144400.0,58.41937984496124,11.449682875264273,Other,2638297.8723404254,2019-02
