property_type,price,location,latitude,longitude,baths,bedrooms,date_added,area_sqft,price_per_sqft,affordability_years,estimated_price_2026,affordability_years_2026,affordability_change,market_tier,price_per_marla,Month_Year,median_ppsqft,pct_vs_median
House,91500000,DHA Defence,24.79966354,67.0553894,6,5,2019-07-01,6534.0,14003.673094582186,346.59090909090907,222436500.0,431.078488372093,84.48757928118397,Elite,3812500.0,2019-07,15610.651974288336,-10.29411764705881
Flat,6900000,Scheme 33,24.969194,67.134492,3,4,2019-06-05,1660.725,4154.811904439326,26.13636363636364,16773900.0,32.507558139534886,6.37119450317125,Upper Middle,1131147.5409836066,2019-06,6630.058464189246,-37.33370637859984
Flat,4500000,Gulistan-e-Jauhar,24.924636,67.141903,2,2,2018-10-20,1306.8,3443.526170798898,17.045454545454547,10939500.0,21.20058139534884,4.155126849894291,Middle Class,937500.0,2018-10,6427.91551882461,-46.42857142857144
House,20000000,Gulshan-e-Iqbal Town,24.911726,67.098014,3,2,2019-01-18,1306.8,15304.560759106214,75.75757575757575,48620000.0,94.2248062015504,18.467230443974643,Middle Class,4166666.666666667,2019-01,7482.229704451926,104.54545454545456
House,72500000,Gulshan-e-Iqbal Town,24.910435,67.090523,6,6,2019-03-10,6534.0,11095.806550352005,274.6212121212121,176247500.0,341.56492248062017,66.94371035940804,Middle Class,3020833.333333333,2019-03,7482.229704451926,48.29545454545455
House,85000000,Gulshan-e-Iqbal Town,24.910435,67.090523,6,6,2019-03-10,5445.0,15610.651974288336,321.969696969697,206635000.0,400.4554263565892,78.48572938689216,Middle Class,4250000.0,2019-03,7482.229704451926,108.63636363636363
House,60000000,Gulshan-e-Iqbal Town,24.899565,67.081322,4,4,2019-02-17,2640.825,22720.17267331232,227.27272727272728,145860000.0,282.6744186046512,55.4016913319239,Middle Class,6185567.010309279,2019-02,7482.229704451926,203.6551077788192
House,120000000,Gulshan-e-Iqbal Town,24.90628,67.086254,6,6,2019-02-17,6534.0,18365.472910927456,454.54545454545456,291720000.0,565.3488372093024,110.8033826638478,Middle Class,5000000.0,2019-02,7482.229704451926,145.45454545454547
Flat,45000000,DHA Defence,24.782215,67.074537,4,3,2019-06-30,2640.825,17040.129504984237,170.45454545454547,109395000.0,212.0058139534884,41.5512684989429,Elite,4639175.257731959,2019-06,15610.651974288336,9.157064887810808
Flat,35000000,DHA Defence,24.782215,67.074537,3,2,2019-06-30,2477.475,14127.286854559585,132.57575757575756,85085000.0,164.89341085271317,32.31765327695561,Elite,3846153.8461538474,2019-06,15610.651974288336,-9.502262443438882
Flat,25000000,DHA Defence,24.752502,67.074019,1,1,2019-06-30,1633.5,15304.560759106214,94.6969696969697,60775000.0,117.78100775193798,23.084038054968275,Elite,4166666.6666666665,2019-06,15610.651974288336,-1.960784313725471
Flat,30500000,DHA Defence,24.752502,67.074019,1,1,2019-06-20,1497.375,20368.979046665,115.53030303030305,74145500.0,143.69282945736435,28.162526427061323,Elite,5545454.545454546,2019-06,15610.651974288336,30.48128342245994
House,100000000,Gulshan-e-Iqbal Town,24.899672,67.094536,9,9,2019-02-17,2613.6,38261.401897765536,378.7878787878788,243100000.0,471.1240310077519,92.3361522198731,Middle Class,10416666.666666668,2019-02,7482.229704451926,411.36363636363643
Flat,25000000,Jamshed Town,24.880013,67.057285,3,3,2019-03-10,2178.0,11478.42056932966,94.6969696969697,60775000.0,117.78100775193798,23.084038054968275,Middle Class,3125000.0,2019-03,10713.19253137435,7.14285714285714
House,75000000,Malir,24.956491,67.219341,5,5,2019-06-20,5445.0,13774.104683195592,284.09090909090907,182325000.0,353.34302325581393,69.25211416490487,Affordable,3750000.0,2019-06,9009.477277058751,52.884615384615394
House,55000000,Gulshan-e-Iqbal Town,24.910435,67.090523,3,5,2019-02-17,3648.15,15076.134479119552,208.33333333333331,133705000.0,259.11821705426354,50.7848837209302,Middle Class,4104477.611940298,2019-02,7482.229704451926,101.49253731343282
Flat,6000000,Bahria Town Karachi,24.894076,67.027715,2,2,2019-06-14,1143.45,5247.277974550701,22.727272727272727,14586000.0,28.26744186046512,5.540169133192389,Upper Middle,1428571.4285714284,2019-06,5968.778696051423,-12.087912087912093
Flat,6200000,Bahria Town Karachi,24.894076,67.027715,2,2,2019-06-14,1143.45,5422.187240369059,23.484848484848484,15072200.0,29.20968992248062,5.724841437632136,Upper Middle,1476190.4761904762,2019-06,5968.778696051423,-9.157509157509153
House,95000000,Cantt,24.959894,67.188631,6,7,2019-07-04,5989.500000000001,15861.090241255528,359.8484848484849,230945000.0,447.5678294573643,87.71934460887945,Elite,4318181.818181817,2019-07,11408.854384060996,39.02439024390241
House,20000000,Bahria Town Karachi,25.005301,67.30881,3,3,2019-04-06,2178.0,9182.736455463728,75.75757575757575,48620000.0,94.2248062015504,18.467230443974643,Upper Middle,2500000.0,2019-04,5968.778696051423,53.84615384615385
House,14500000,Bahria Town Karachi,25.00574,67.316385,5,5,2019-06-05,3811.5,3804.276531549259,54.92424242424242,35249500.0,68.31298449612403,13.388742071881609,Upper Middle,1035714.2857142856,2019-06,5968.778696051423,-36.26373626373626
Flat,22500000,DHA Defence,24.791955,67.065082,3,3,2019-07-04,2178.0,10330.578512396694,85.22727272727273,54697500.0,106.0029069767442,20.77563424947145,Elite,2812500.0,2019-07,15610.651974288336,-33.823529411764696
House,45000000,Gulistan-e-Jauhar,24.920687,67.116428,4,4,2019-07-01,2885.85,15593.32605644784,170.45454545454547,109395000.0,212.0058139534884,41.5512684989429,Middle Class,4245283.018867925,2019-07,6427.91551882461,142.58760107816707
House,21000000,Bahria Town Karachi,25.005301,67.30881,3,3,2019-06-05,2178.0,9641.873278236915,79.54545454545455,51051000.0,98.93604651162792,19.39059196617336,Upper Middle,2625000.0,2019-06,5968.778696051423,61.538461538461554
