Player,Runs,Mins,Balls,4s,6s,SR,Team,Opposition,Ground,Match Date
Mohammad Haris,79,66,39,7,5,202.56,Zalmi,v United,Rawalpindi,12 Mar 2023
SW Billings,78*,-,50,8,3,156.00,United,v Gladiators,Sharjah,15 Feb 2017
RR Rossouw,78*,60,42,9,3,185.71,Sultans,v Gladiators,Multan,15 Feb 2023
CS Delport,78,-,61,6,3,127.86,Qalandars,v Zalmi,Sharjah,13 Feb 2016
JL Denly,78,-,55,10,2,141.81,Kings,v Sultans,Dubai (DICS),10 Mar 2018
Babar Azam,78,-,56,7,2,139.28,Kings,v Zalmi,Karachi,21 Feb 2020
Babar Azam,77*,112,47,6,3,163.82,Kings,v Zalmi,Karachi,03 Mar 2021
Mohammad Hafeez,77,-,47,5,6,163.82,Zalmi,v Gladiators,Sharjah,28 Feb 2017
L Ronchi,77,-,41,5,6,187.80,United,v Qalandars,Dubai (DICS),08 Mar 2018
Kamran Akmal,77,-,27,5,8,285.18,Zalmi,v Kings,Lahore,21 Mar 2018
Babar Azam,77,-,59,6,1,130.50,Kings,v Sultans,Dubai (DICS),15 Feb 2019
