Team,Score,Overs,RR,Inns,Opposition,Ground,Result,Match Date
Qalandars,144/5,20.0,7.20,2,v United,Abu Dhabi,won,9 Jun 2021
United,144,20.0,7.20,1,v Sultans,Multan,lost,20 Feb 2024
Zalmi,145/7,20.0,7.25,1,v United,Dubai (DICS),won,5 Feb 2016
United,145/8,20.0,7.25,1,v Qalandars,Sharjah,lost,20 Feb 2017
Sultans,145,20.0,7.25,1,v Zalmi,Sharjah,lost,24 Feb 2019
Kings,145/5,20.0,7.25,2,v Zalmi,Karachi,lost,11 Mar 2024
United,145,18.5,7.69,2,v Qalandars,Rawalpindi,lost,6 Mar 2024
Zalmi,146/7,20.0,7.30,1,v Sultans,Karachi,lost,14 Mar 2024
Zalmi,146,19.4,7.42,2,v United,Sharjah,lost,22 Feb 2019
Kings,147/7,20.0,7.35,1,v Gladiators,Dubai (DICS),lost,6 Feb 2016
Gladiators,147/7,20.0,7.35,1,v United,Sharjah,lost,15 Mar 2018
Zalmi,147/6,20.0,7.35,1,v Kings,Karachi,won,11 Mar 2024
Gladiators,148/6,20.0,7.40,1,v United,Sharjah,lost,15 Feb 2017
Zalmi,148/6,20.0,7.40,1,v Gladiators,Lahore,won,5 Mar 2017
Zalmi,148/9,20.0,7.40,1,v United,Karachi,lost,25 Mar 2018
Gladiators,148/7,20.0,7.40,2,v Qalandars,Sharjah,won,23 Feb 2019
Gladiators,148/5,20.0,7.40,1,v Zalmi,Karachi,lost,22 Feb 2020
Qalandars,148,19.2,7.65,1,v Gladiators,Lahore,won,2 Mar 2023
Qalandars,149/9,20.0,7.45,2,v Zalmi,Dubai (DICS),lost,24 Feb 2017
Kings,149/9,20.0,7.45,1,v Gladiators,Dubai (DICS),won,23 Feb 2018
Sultans,149,20.0,7.45,1,v United,Abu Dhabi,lost,19 Jun 2021
Kings,149,19.5,7.51,1,v Qalandars,Lahore,won,18 Feb 2022
United,149,19.0,7.84,2,v Sultans,Abu Dhabi,lost,21 Jun 2021
Qalandars,150/5,20.0,7.50,1,v United,Dubai (DICS),lost,17 Feb 2016
Qalandars,150/5,20.0,7.50,1,v Kings,Karachi,lost,12 Mar 2020
Kings,150/5,20.0,7.50,1,v Gladiators,Karachi,lost,15 Mar 2020
Sultans,150/8,20.0,7.50,1,v United,Karachi,lost,21 Feb 2021
Kings,150/7,20.0,7.50,1,v United,Rawalpindi,lost,7 Mar 2024
Qalandars,151/8,20.0,7.55,2,v Kings,Sharjah,lost,12 Feb 2016
Zalmi,151/6,20.0,7.55,1,v Sultans,Dubai (DICS),lost,22 Feb 2018
Zalmi,151/8,20.0,7.55,1,v Kings,Rawalpindi,lost,2 Mar 2020
Zalmi,151/8,20.0,7.55,2,v Sultans,Karachi,lost,13 Mar 2020
United,152/6,20.0,7.60,1,v Zalmi,Sharjah,lost,12 Feb 2016
Kings,152/7,20.0,7.60,1,v Zalmi,Dubai (DICS),lost,17 Feb 2016
Sultans,152/5,20.0,7.60,1,v Gladiators,Dubai (DICS),lost,7 Mar 2018
United,152/7,20.0,7.60,1,v Qalandars,Abu Dhabi,won,13 Jun 2021
Sultans,152,19.1,7.93,2,v United,Sharjah,lost,13 Mar 2018
Kings,153/6,20.0,7.65,1,v United,Sharjah,lost,4 Mar 2018
Zalmi,153/8,20.0,7.65,1,v Kings,Sharjah,won,21 Feb 2019
Kings,154/6,20.0,7.70,1,v Gladiators,Dubai (DICS),lost,23 Feb 2017
Kings,154/4,20.0,7.70,1,v United,Dubai (DICS),lost,18 Mar 2018
Sultans,154/6,20.0,7.70,1,v Zalmi,Karachi,won,13 Mar 2020
Gladiators,154/4,20.0,7.70,1,v Zalmi,Karachi,lost,20 Feb 2023
Zalmi,154,19.5,7.76,1,v Kings,Lahore,lost,21 Feb 2024
Sultans,154,19.4,7.83,2,v Gladiators,Karachi,lost,3 Mar 2021
Zalmi,154,18.5,8.17,2,v Sultans,Multan,lost,17 Feb 2023
Qalandars,154,17.0,9.05,2,v Sultans,Lahore,lost,27 Feb 2024
Qalandars,155/6,20.0,7.75,1,v Kings,Dubai (DICS),lost,25 Feb 2017
Zalmi,155/4,20.0,7.75,1,v Gladiators,Dubai (DICS),lost,15 Feb 2019
Zalmi,156/9,20.0,7.80,2,v United,Dubai (DICS),lost,9 Mar 2018
Gladiators,156/9,20.0,7.80,2,v Zalmi,Lahore,lost,20 Mar 2018
Kings,156/9,20.0,7.80,1,v Gladiators,Karachi,lost,23 Feb 2020
Gladiators,156/7,20.0,7.80,1,v United,Karachi,lost,1 Mar 2021
Zalmi,156/8,20.0,7.80,1,v United,Karachi,lost,23 Feb 2023
Kings,157/7,20.0,7.85,2,v Zalmi,Dubai (DICS),lost,3 Mar 2017
Zalmi,157/5,20.0,7.85,1,v Gladiators,Dubai (DICS),lost,10 Mar 2018
Zalmi,157,20.0,7.85,1,v Gladiators,Lahore,won,20 Mar 2018
United,157/8,20.0,7.85,1,v Gladiators,Dubai (DICS),lost,17 Feb 2019
Qalandars,157/6,20.0,7.85,1,v Sultans,Karachi,lost,26 Feb 2021
Sultans,157,19.1,8.19,2,v Qalandars,Karachi,lost,15 Nov 2020
Gladiators,157,19.1,8.19,2,v United,Karachi,lost,24 Feb 2023
United,158/7,20.0,7.90,1,v Qalandars,Dubai (DICS),lost,11 Feb 2017
Kings,158/5,20.0,7.90,2,v Qalandars,Dubai (DICS),won,25 Feb 2017
United,158/9,20.0,7.90,1,v Zalmi,Sharjah,won,22 Feb 2019
Gladiators,158/5,20.0,7.90,1,v Qalandars,Abu Dhabi,won,15 Jun 2021
Zalmi,158/7,20.0,7.90,1,v Qalandars,Lahore,tied,21 Feb 2022
Qalandars,158/8,20.0,7.90,2,v Zalmi,Lahore,tied,21 Feb 2022
Kings,159/8,20.0,7.95,1,v Gladiators,Dubai (DICS),lost,11 Feb 2017
Kings,159/7,20.0,7.95,1,v Qalandars,Dubai (DICS),won,26 Feb 2018
Zalmi,159/9,20.0,7.95,2,v Sultans,Abu Dhabi,lost,24 Jun 2021
Sultans,159/7,20.0,7.95,2,v Qalandars,Lahore,lost,4 Mar 2023
Sultans,159/9,20.0,7.95,1,v United,Karachi,lost,18 Mar 2024
Zalmi,160/7,20.0,8.00,2,v Qalandars,Sharjah,lost,13 Feb 2016
Sultans,160/9,20.0,8.00,1,v Gladiators,Sharjah,lost,20 Feb 2019
Zalmi,160/8,20.0,8.00,2,v Qalandars,Abu Dhabi,lost,10 Jun 2021
Sultans,160/5,20.0,8.00,1,v Qalandars,Lahore,won,15 Mar 2023
Kings,161/9,20.0,8.05,1,v United,Karachi,lost,14 Mar 2019
Gladiators,161/8,20.0,8.05,2,v Zalmi,Lahore,lost,15 Feb 2022
Gladiators,162/6,20.0,8.10,2,v Kings,Abu Dhabi,lost,19 Jun 2021
Kings,162/5,20.0,8.10,2,v Gladiators,Karachi,lost,18 Feb 2023
Qalandars,162/7,20.0,8.10,1,v United,Rawalpindi,won,6 Mar 2024
United,162,19.4,8.23,2,v Qalandars,Lahore,lost,25 Feb 2022
Qalandars,163/8,20.0,8.15,1,v United,Dubai (DICS),lost,8 Mar 2018
Kings,163/5,20.0,8.15,1,v Qalandars,Dubai (DICS),tied,11 Mar 2018
Qalandars,163/8,20.0,8.15,2,v Kings,Dubai (DICS),tied,11 Mar 2018
Sultans,163/2,20.0,8.15,1,v Qalandars,Lahore,won,23 Feb 2022
United,163/8,20.0,8.15,2,v Sultans,Karachi,won,18 Mar 2024
Qalandars,164/3,20.0,8.20,1,v Zalmi,Sharjah,won,13 Feb 2016
Gladiators,164/5,20.0,8.20,2,v United,Dubai (DICS),lost,24 Feb 2017
