Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s
Danish Aziz (IU/KK/QG),2018-2022,8,7,2,111,45,22.20,86,129.06,-,-,1,7
CR Brathwaite (LQ/MS/PZ),2019-2024,18,12,6,111,22*,18.50,74,150.00,-,-,-,10
Gulraiz Sadaf (LQ),2018-2018,5,5,2,110,42*,36.66,121,90.90,-,-,-,8
F du Plessis (PZ/QG),2020-2021,6,5,-,107,37,21.40,87,122.98,-,-,-,9
JM Cox (IU),2024-2024,6,5,1,106,41,26.50,86,123.25,-,-,-,7
AM Rossington (KK),2023-2023,3,3,-,104,69,34.66,69,150.72,-,1,-,16
LJ Evans (MS/QG),2019-2024,9,9,-,103,49,11.44,116,88.79,-,-,1,10
Shahid Yousuf (PZ),2016-2016,9,6,1,99,27*,19.80,97,102.06,-,-,-,9
PBB Rajapaksa (PZ),2023-2023,5,5,1,97,41,24.25,66,146.96,-,-,-,11
MH Wessels (KK/LQ/PZ),2016-2019,8,8,1,96,31*,13.71,94,102.12,-,-,-,11
Hammad Azam (LQ/MS/PZ),2016-2021,12,12,4,94,29,11.75,95,98.94,-,-,3,7
