Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Faheem Ashraf (IU),2018-2024,72,55,20,803,55,22.94,555,144.68,-,3,3,68,39
Shahid Afridi (KK/MS/PZ/QG),2016-2022,53,38,8,469,54,15.63,311,150.80,-,1,5,23,36
Haider Ali (IU/KK/PZ),2020-2024,41,40,6,769,69,22.61,564,136.34,-,4,5,71,36
JM Vince (KK/MS/QG),2016-2024,45,45,3,1166,84,27.76,853,136.69,-,4,4,144,35
BR Dunk (KK/LQ),2019-2022,30,27,5,596,99*,27.09,412,144.66,-,3,-,41,34
Khushdil Shah (MS/PZ),2017-2024,59,48,20,693,70*,24.75,492,140.85,-,1,1,48,34
BCJ Cutting (KK/PZ/QG),2020-2023,27,26,5,481,53,22.90,306,157.18,-,2,4,33,33
CS Delport (IU/KK/LQ/QG),2016-2021,39,38,2,873,117*,24.25,688,126.88,1,5,6,80,33
Sohail Akhtar (LQ),2018-2022,44,42,9,808,75,24.48,656,123.17,-,3,2,79,32
Ahmed Shehzad (MS/QG),2016-2020,45,43,2,1077,99,26.26,897,120.06,-,9,4,109,32
DR Smith (IU/PZ/QG),2016-2019,28,25,4,701,73,33.38,611,114.72,-,5,1,67,31
Mohammad Haris (PZ),2022-2024,27,26,1,658,85,26.32,384,171.35,-,3,2,67,31
KP Pietersen (QG),2016-2018,27,25,2,611,88*,26.56,439,139.17,-,4,4,43,30
CH Gayle (KK/LQ/QG),2016-2021,16,16,-,370,68,23.12,271,136.53,-,2,2,24,29
T Kohler-Cadmore (PZ/QG),2018-2024,27,27,2,586,92,23.44,430,136.27,-,4,2,50,29
Shaheen Shah Afridi (LQ),2018-2024,71,35,9,328,55,12.61,233,140.77,-,2,7,18,27
Hussain Talat (IU/LQ/PZ),2017-2024,61,50,8,965,63,22.97,793,121.68,-,4,2,80,27
Mohammad Nawaz (KK/QG),2016-2024,84,64,17,816,52,17.36,713,114.44,-,1,3,72,27
Abdullah Shafique (LQ),2022-2024,26,26,2,678,75,28.25,499,135.87,-,5,1,59,26
R Powell (PZ),2021-2024,27,26,6,504,64,25.20,327,154.12,-,1,3,43,26
Sarfaraz Ahmed (QG),2016-2024,86,73,21,1525,81,29.32,1243,122.68,-,7,2,136,26
Usman Khan (MS/QG),2021-2024,17,17,3,747,120,53.35,469,159.27,3,3,2,88,25
MJ Guptill (IU/KK/QG),2021-2024,18,18,1,519,117,30.52,372,139.51,1,3,2,51,22
LS Livingstone (KK/PZ),2019-2022,23,22,3,468,82,24.63,353,132.57,-,4,3,35,22
CAK Walton (IU/KK),2018-2021,27,25,4,451,48,21.47,323,139.62,-,-,3,36,22
Shan Masood (KK/MS),2019-2024,53,52,-,1476,88,28.38,1134,130.15,-,9,2,178,22
Rahmanullah Gurbaz (IU/MS),2021-2023,15,15,1,318,62,22.71,199,159.79,-,1,1,28,21
DJ Malan (IU/MS/PZ),2016-2024,25,25,3,631,64,28.68,516,122.28,-,5,2,58,20
LA Dawson (IU/LQ/PZ),2018-2023,33,27,4,471,62,20.47,376,125.26,-,2,2,32,19
Anwar Ali (KK/MS/QG),2016-2024,50,36,14,323,28*,14.68,229,141.04,-,-,-,19,19
Hazratullah Zazai (PZ),2021-2022,12,12,-,382,77,31.83,250,152.80,-,4,2,45,18
HE van der Dussen (IU/LQ),2023-2024,13,13,2,512,104*,46.54,351,145.86,1,3,-,41,18
J Charles (MS),2019-2024,18,16,1,435,57,29.00,283,153.71,-,3,2,45,18
Misbah-ul-Haq (IU/PZ),2016-2019,29,22,6,507,61*,31.68,453,111.92,-,2,-,42,18
RS Bopara (KK/MS/PZ),2016-2021,39,36,9,775,71*,28.70,658,117.78,-,5,1,63,18
CA Lynn (LQ/MS),2020-2021,12,12,1,318,113*,28.90,183,173.77,1,1,2,38,17
KC Sangakkara (KK/MS/QG),2016-2018,24,23,1,613,65,27.86,485,126.39,-,5,2,64,17
Agha Salman (IU/LQ),2018-2024,27,26,2,529,64*,22.04,441,119.95,-,3,-,46,17
Mohammad Nabi (KK/QG),2016-2022,22,18,4,350,67,25.00,245,142.85,-,2,1,31,16
Saud Shakeel (QG),2024-2024,10,10,1,323,88*,35.88,228,141.66,-,2,1,31,15
SP Narine (LQ),2017-2018,17,15,2,214,28,16.46,130,164.61,-,-,1,17,15
BJ Haddin (IU),2016-2017,17,17,4,327,73,25.15,250,130.80,-,4,2,25,15
BB McCullum (LQ),2017-2018,18,17,2,311,44,20.73,272,114.33,-,-,3,28,15
Sikandar Raza (KK/LQ),2019-2024,23,22,7,337,71*,22.46,230,146.52,-,1,1,29,15
Tamim Iqbal (LQ/PZ),2016-2020,20,20,4,605,80*,37.81,535,113.08,-,4,-,61,14
Sohail Tanvir (KK/LQ/MS/QG),2016-2022,61,37,18,321,36*,16.89,295,108.81,-,-,2,22,14
Wahab Riaz (PZ),2016-2023,88,54,21,359,33*,10.87,280,128.21,-,-,10,31,14
JM Clarke (KK),2021-2022,13,12,1,295,54,26.81,215,137.20,-,2,1,25,13
Ahsan Ali (QG),2019-2022,19,18,1,444,73,26.11,335,132.53,-,3,-,49,13
SW Billings (IU/LQ),2016-2023,20,19,3,402,78*,25.12,306,131.37,-,2,2,38,13
Sahibzada Farhan (IU/KK/LQ),2018-2024,22,21,3,457,72*,25.38,381,119.94,-,3,1,49,13
Imam-ul-Haq (PZ),2019-2021,22,22,-,542,59,24.63,436,124.31,-,5,2,50,13
AP Devcich (LQ),2018-2019,10,10,-,279,70,27.90,205,136.09,-,2,-,26,12
PR Stirling (IU),2021-2023,10,10,-,266,58,26.60,160,166.25,-,3,-,33,12
Kamran Ghulam (IU/LQ),2016-2024,21,20,1,419,55*,22.05,361,116.06,-,1,1,36,12
HC Brook (LQ),2022-2022,10,8,3,264,102*,52.80,154,171.42,1,-,-,23,11
WCF Smeed (QG),2022-2023,10,10,-,315,99,31.50,234,134.61,-,2,1,36,11
JL Denly (KK/LQ),2018-2021,14,13,1,354,79*,29.50,287,123.34,-,3,2,42,11
Aamer Yamin (KK/LQ/PZ),2016-2023,34,16,3,153,35*,11.76,115,133.04,-,-,3,8,11
AD Russell (IU/MS/QG),2016-2021,19,17,2,173,35*,11.53,128,135.15,-,-,1,14,11
Umaid Asif (KK/PZ/QG),2018-2023,47,18,9,151,25,16.77,94,160.63,-,-,3,11,11
Rashid Khan (LQ),2021-2023,28,20,9,203,27*,18.45,147,138.09,-,-,3,16,11
Hasan Ali (IU/KK/PZ),2016-2024,82,40,12,251,45,8.96,183,137.15,-,-,3,20,11
JP Faulkner (LQ/QG),2021-2022,12,8,3,139,33,27.80,80,173.75,-,-,-,7,10
DA Miller (MS/PZ),2021-2023,11,9,1,235,73,29.37,163,144.17,-,2,-,19,10
Mirza Baig (LQ),2023-2024,12,12,-,260,54,21.66,211,123.22,-,1,-,30,10
Aamer Jamal (PZ),2023-2024,14,13,5,167,87,20.87,110,151.81,-,1,-,15,10
Khalid Latif (IU),2016-2016,9,7,1,206,59,34.33,173,119.07,-,1,-,11,9
Najibullah Zadran (KK/QG),2021-2023,7,7,1,171,71*,28.50,126,135.71,-,2,1,11,9
RR Hendricks (MS),2024-2024,8,8,1,304,79*,43.42,226,134.51,-,3,-,34,9
Mohammad Wasim (IU/QG),2021-2024,33,20,7,145,17*,11.15,119,121.84,-,-,1,10,9
Sohail Khan (KK/LQ/MS/PZ/QG),2016-2024,44,24,7,144,32,8.47,149,96.64,-,-,4,7,9
Umar Siddiq (MS),2019-2019,7,7,-,169,53,24.14,150,112.66,-,1,-,13,8
