player,overs,mdns,runs,wkts,econ,team,inns,opposition,ground,match_date,match_year
Faheem Ashraf,4.0,0,11,3,2.75,Islamabad United,1,Quetta Gladiators,Karachi,2021-03-01,2021
S Mahmood,2.1,0,12,3,5.53,Peshawar Zalmi,1,Islamabad United,Karachi,2021-02-27,2021
Imad Wasim,4.0,0,12,3,3.0,Islamabad United,2,Quetta Gladiators,Karachi,2024-03-15,2024
Shadab Khan,3.0,0,13,3,4.33,Islamabad United,2,Karachi Kings,Dubai (DICS),2017-02-26,2017
Mohammad Hasnain,4.0,1,13,3,3.25,Quetta Gladiators,2,Peshawar Zalmi,Karachi,2023-02-20,2023
Khurram Shahzad,1.4,0,13,3,7.8,Peshawar Zalmi,2,Islamabad United,Rawalpindi,2023-03-12,2023
Rumman Raees,3.5,0,14,3,3.65,Islamabad United,1,Multan Sultans,Dubai (DICS),2018-02-25,2018
Sohail Tanvir,3.0,0,14,3,4.66,Multan Sultans,1,Quetta Gladiators,Sharjah,2018-03-03,2018
Sohail Tanvir,4.0,0,14,3,3.5,Multan Sultans,2,Peshawar Zalmi,Dubai (DICS),2018-03-06,2018
Shaheen Shah Afridi,4.0,1,14,3,3.5,Lahore Qalandars,1,Peshawar Zalmi,Karachi,2021-02-21,2021
Khurram Shahzad,3.0,0,14,3,4.66,Quetta Gladiators,2,Lahore Qalandars,Abu Dhabi,2021-06-15,2021
Abrar Ahmed,4.0,0,14,3,3.5,Peshawar Zalmi,1,Karachi Kings,Abu Dhabi,2021-06-15,2021
Fawad Ahmed,4.0,0,15,3,3.75,Quetta Gladiators,1,Islamabad United,Dubai (DICS),2019-02-17,2019
Hasan Ali,3.2,0,15,3,4.5,Peshawar Zalmi,2,Karachi Kings,Karachi,2019-03-11,2019
Rashid Khan,4.0,0,15,3,3.75,Lahore Qalandars,2,Multan Sultans,Lahore,2023-03-04,2023
Mohammad Asghar,4.0,0,16,3,4.0,Peshawar Zalmi,2,Quetta Gladiators,Lahore,2017-03-05,2017
Arshad Iqbal,4.0,1,16,3,4.0,Karachi Kings,1,Quetta Gladiators,Karachi,2021-02-20,2021
Imran Tahir,4.0,0,16,3,4.0,Multan Sultans,1,Karachi Kings,Karachi,2022-01-27,2022
Khushdil Shah,4.0,0,16,3,4.0,Multan Sultans,2,Quetta Gladiators,Karachi,2022-01-31,2022
LA Dawson,4.0,0,16,3,4.0,Islamabad United,2,Multan Sultans,Lahore,2022-02-20,2022
Imad Wasim,4.0,1,16,3,4.0,Karachi Kings,1,Quetta Gladiators,Karachi,2023-02-18,2023
Shoaib Malik,3.3,0,16,3,4.57,Karachi Kings,2,Multan Sultans,Karachi,2023-02-26,2023
BAW Mendis,3.0,0,17,3,5.66,Lahore Qalandars,2,Quetta Gladiators,Dubai (DICS),2016-02-08,2016
Wahab Riaz,3.3,0,17,3,4.85,Peshawar Zalmi,1,Quetta Gladiators,Dubai (DICS),2016-02-19,2016
Aamer Yamin,4.0,0,17,3,4.25,Lahore Qalandars,1,Islamabad United,Sharjah,2017-02-20,2017
