player,runs,mins,balls,4s,6s,sr,team,opposition,ground,is_not_out,match_date,match_year,match_month
JL Denly,79.0,,46,9,4.0,171.73,Karachi Kings,Peshawar Zalmi,Lahore,True,2018-03-21,2018,3
RR Hendricks,79.0,84.0,54,7,3.0,146.29,Multan Sultans,Karachi Kings,Multan,True,2024-02-18,2024,2
SR Watson,79.0,,47,4,7.0,168.08,Islamabad United,Lahore Qalandars,Sharjah,False,2016-02-10,2016,2
Mohammad Haris,79.0,66.0,39,7,5.0,202.56,Peshawar Zalmi,Islamabad United,Rawalpindi,False,2023-03-12,2023,3
SW Billings,78.0,,50,8,3.0,156.0,Islamabad United,Quetta Gladiators,Sharjah,True,2017-02-15,2017,2
RR Rossouw,78.0,60.0,42,9,3.0,185.71,Multan Sultans,Quetta Gladiators,Multan,True,2023-02-15,2023,2
CS Delport,78.0,,61,6,3.0,127.86,Lahore Qalandars,Peshawar Zalmi,Sharjah,False,2016-02-13,2016,2
JL Denly,78.0,,55,10,2.0,141.81,Karachi Kings,Multan Sultans,Dubai (DICS),False,2018-03-10,2018,3
Babar Azam,78.0,,56,7,2.0,139.28,Karachi Kings,Peshawar Zalmi,Karachi,False,2020-02-21,2020,2
Babar Azam,77.0,112.0,47,6,3.0,163.82,Karachi Kings,Peshawar Zalmi,Karachi,True,2021-03-03,2021,3
Mohammad Hafeez,77.0,,47,5,6.0,163.82,Peshawar Zalmi,Quetta Gladiators,Sharjah,False,2017-02-28,2017,2
L Ronchi,77.0,,41,5,6.0,187.8,Islamabad United,Lahore Qalandars,Dubai (DICS),False,2018-03-08,2018,3
Kamran Akmal,77.0,,27,5,8.0,285.18,Peshawar Zalmi,Karachi Kings,Lahore,False,2018-03-21,2018,3
Babar Azam,77.0,,59,6,1.0,130.5,Karachi Kings,Multan Sultans,Dubai (DICS),False,2019-02-15,2019,2
