team,overs,rr,inns,opposition,ground,runs,wickets,match_date,match_year,won
Quetta Gladiators,20.0,7.05,1,Lahore Qalandars,Lahore,141,7,2022-02-13,2022,False
Islamabad United,20.0,7.1,2,Peshawar Zalmi,Dubai (DICS),142,9,2018-02-24,2018,False
Karachi Kings,16.2,8.69,2,Peshawar Zalmi,Karachi,142,10,2019-03-11,2019,False
Lahore Qalandars,20.0,7.15,1,Quetta Gladiators,Sharjah,143,7,2019-02-23,2019,False
Karachi Kings,20.0,7.15,1,Islamabad United,Sharjah,143,6,2019-02-23,2019,False
Islamabad United,20.0,7.15,1,Lahore Qalandars,Abu Dhabi,143,9,2021-06-09,2021,False
Karachi Kings,20.0,7.15,2,Quetta Gladiators,Lahore,143,8,2022-02-20,2022,False
Lahore Qalandars,20.0,7.2,2,Islamabad United,Abu Dhabi,144,5,2021-06-09,2021,True
Islamabad United,20.0,7.2,1,Multan Sultans,Multan,144,10,2024-02-20,2024,False
Peshawar Zalmi,20.0,7.25,1,Islamabad United,Dubai (DICS),145,7,2016-02-05,2016,True
Islamabad United,20.0,7.25,1,Lahore Qalandars,Sharjah,145,8,2017-02-20,2017,False
Multan Sultans,20.0,7.25,1,Peshawar Zalmi,Sharjah,145,10,2019-02-24,2019,False
Karachi Kings,20.0,7.25,2,Peshawar Zalmi,Karachi,145,5,2024-03-11,2024,False
Islamabad United,18.5,7.69,2,Lahore Qalandars,Rawalpindi,145,10,2024-03-06,2024,False
Peshawar Zalmi,20.0,7.3,1,Multan Sultans,Karachi,146,7,2024-03-14,2024,False
Peshawar Zalmi,19.4,7.42,2,Islamabad United,Sharjah,146,10,2019-02-22,2019,False
Karachi Kings,20.0,7.35,1,Quetta Gladiators,Dubai (DICS),147,7,2016-02-06,2016,False
Quetta Gladiators,20.0,7.35,1,Islamabad United,Sharjah,147,7,2018-03-15,2018,False
Peshawar Zalmi,20.0,7.35,1,Karachi Kings,Karachi,147,6,2024-03-11,2024,True
Quetta Gladiators,20.0,7.4,1,Islamabad United,Sharjah,148,6,2017-02-15,2017,False
Peshawar Zalmi,20.0,7.4,1,Quetta Gladiators,Lahore,148,6,2017-03-05,2017,True
Peshawar Zalmi,20.0,7.4,1,Islamabad United,Karachi,148,9,2018-03-25,2018,False
Quetta Gladiators,20.0,7.4,2,Lahore Qalandars,Sharjah,148,7,2019-02-23,2019,True
Quetta Gladiators,20.0,7.4,1,Peshawar Zalmi,Karachi,148,5,2020-02-22,2020,False
Lahore Qalandars,19.2,7.65,1,Quetta Gladiators,Lahore,148,10,2023-03-02,2023,True
Lahore Qalandars,20.0,7.45,2,Peshawar Zalmi,Dubai (DICS),149,9,2017-02-24,2017,False
Karachi Kings,20.0,7.45,1,Quetta Gladiators,Dubai (DICS),149,9,2018-02-23,2018,True
Multan Sultans,20.0,7.45,1,Islamabad United,Abu Dhabi,149,10,2021-06-19,2021,False
Karachi Kings,19.5,7.51,1,Lahore Qalandars,Lahore,149,10,2022-02-18,2022,True
Islamabad United,19.0,7.84,2,Multan Sultans,Abu Dhabi,149,10,2021-06-21,2021,False
Lahore Qalandars,20.0,7.5,1,Islamabad United,Dubai (DICS),150,5,2016-02-17,2016,False
Lahore Qalandars,20.0,7.5,1,Karachi Kings,Karachi,150,5,2020-03-12,2020,False
Karachi Kings,20.0,7.5,1,Quetta Gladiators,Karachi,150,5,2020-03-15,2020,False
Multan Sultans,20.0,7.5,1,Islamabad United,Karachi,150,8,2021-02-21,2021,False
Karachi Kings,20.0,7.5,1,Islamabad United,Rawalpindi,150,7,2024-03-07,2024,False
Lahore Qalandars,20.0,7.55,2,Karachi Kings,Sharjah,151,8,2016-02-12,2016,False
Peshawar Zalmi,20.0,7.55,1,Multan Sultans,Dubai (DICS),151,6,2018-02-22,2018,False
Peshawar Zalmi,20.0,7.55,1,Karachi Kings,Rawalpindi,151,8,2020-03-02,2020,False
Peshawar Zalmi,20.0,7.55,2,Multan Sultans,Karachi,151,8,2020-03-13,2020,False
Islamabad United,20.0,7.6,1,Peshawar Zalmi,Sharjah,152,6,2016-02-12,2016,False
Karachi Kings,20.0,7.6,1,Peshawar Zalmi,Dubai (DICS),152,7,2016-02-17,2016,False
Multan Sultans,20.0,7.6,1,Quetta Gladiators,Dubai (DICS),152,5,2018-03-07,2018,False
Islamabad United,20.0,7.6,1,Lahore Qalandars,Abu Dhabi,152,7,2021-06-13,2021,True
Multan Sultans,19.1,7.93,2,Islamabad United,Sharjah,152,10,2018-03-13,2018,False
Karachi Kings,20.0,7.65,1,Islamabad United,Sharjah,153,6,2018-03-04,2018,False
Peshawar Zalmi,20.0,7.65,1,Karachi Kings,Sharjah,153,8,2019-02-21,2019,True
