matches,innings,not_outs,runs,high_score,average,balls_faced,strike_rate,centuries,fifties,ducks,fours,player_name,teams_played,num_teams,span_start,span_end,career_yrs,hs_not_out
15,15,1,318,62.0,22.71,199,159.79,0,1,1,28,Rahmanullah Gurbaz,IU/MS,2,2021,2023,2,False
10,10,0,315,99.0,31.5,234,134.61,0,2,1,36,WCF Smeed,QG,1,2022,2023,1,False
18,17,2,311,44.0,20.73,272,114.33,0,0,3,28,BB McCullum,LQ,1,2017,2018,1,False
8,8,1,304,79.0,43.42,226,134.51,0,3,0,34,RR Hendricks,MS,1,2024,2024,0,True
13,12,1,295,54.0,26.81,215,137.2,0,2,1,25,JM Clarke,KK,1,2021,2022,1,False
17,16,1,280,51.0,18.66,267,104.86,0,1,1,31,Asad Shafiq,MS/QG,2,2016,2020,4,False
10,10,0,279,70.0,27.9,205,136.09,0,2,0,26,AP Devcich,LQ,1,2018,2019,1,False
14,13,0,270,54.0,20.76,214,126.16,0,1,0,34,Yasir Khan,MS/PZ/QG,3,2022,2024,2,False
10,10,0,266,58.0,26.6,160,166.25,0,3,0,33,PR Stirling,IU,1,2021,2023,2,False
10,8,3,264,102.0,52.8,154,171.42,1,0,0,23,HC Brook,LQ,1,2022,2022,0,True
17,15,7,263,39.0,32.87,190,138.42,0,0,1,27,Irfan Khan,KK,1,2023,2024,1,True
12,12,0,260,54.0,21.66,211,123.22,0,1,0,30,Mirza Baig,LQ,1,2023,2024,1,False
10,9,2,251,73.0,35.85,249,100.8,0,2,0,22,JP Duminy,IU,1,2018,2018,0,True
82,40,12,251,45.0,8.96,183,137.15,0,0,3,20,Hasan Ali,IU/KK/PZ,3,2016,2024,8,False
7,7,2,246,105.0,49.2,161,152.79,1,1,1,31,UT Khawaja,IU,1,2021,2021,0,True
11,9,1,235,73.0,29.37,163,144.17,0,2,0,19,DA Miller,MS/PZ,2,2021,2023,2,False
16,14,0,226,52.0,16.14,180,125.55,0,2,0,26,Zeeshan Ashraf,LQ/MS,2,2020,2022,2,False
9,9,1,224,53.0,28.0,185,121.08,0,1,1,29,MS Wade,KK,1,2023,2023,0,False
11,9,2,222,65.0,31.71,151,147.01,0,1,0,26,Tayyab Tahir,KK/MS,2,2023,2024,1,False
7,7,3,218,52.0,54.5,169,128.99,0,1,0,19,AB de Villiers,LQ,1,2019,2019,0,True
17,15,2,214,28.0,16.46,130,164.61,0,0,1,17,SP Narine,LQ,1,2017,2018,1,False
8,8,1,210,62.0,30.0,187,112.29,0,2,0,26,LMP Simmons,KK,1,2016,2018,2,True
9,7,1,206,59.0,34.33,173,119.07,0,1,0,11,Khalid Latif,IU,1,2016,2016,0,False
19,18,1,204,46.0,12.0,172,118.6,0,0,1,26,PD Salt,IU/LQ,2,2019,2022,3,False
28,20,9,203,27.0,18.45,147,138.09,0,0,3,16,Rashid Khan,LQ,1,2021,2023,2,True
13,12,4,189,49.0,23.62,143,132.16,0,0,0,17,L Gregory,IU/KK/PZ,3,2020,2022,2,True
8,7,0,184,63.0,26.28,162,113.58,0,2,0,21,Khurram Manzoor,KK/QG,2,2018,2020,2,False
7,7,0,183,61.0,26.14,172,106.39,0,1,0,22,Azhar Ali,LQ,1,2016,2016,0,False
7,7,0,182,49.0,26.0,137,132.84,0,0,0,23,TL Seifert,KK,1,2024,2024,0,False
10,10,2,182,60.0,22.75,150,121.33,0,1,0,11,Khawaja Nafay,QG,1,2024,2024,0,True
7,7,1,181,86.0,30.16,141,128.36,0,1,0,20,LJ Wright,QG,1,2016,2017,1,True
14,13,2,181,51.0,16.45,169,107.1,0,1,0,11,Shakib Al Hasan,KK/PZ,2,2016,2023,7,False
14,12,1,177,50.0,16.09,124,142.74,0,1,1,18,Haseebullah Khan,PZ,1,2023,2024,1,False
19,17,2,173,35.0,11.53,128,135.15,0,0,1,14,AD Russell,IU/MS/QG,3,2016,2021,5,True
6,5,0,172,67.0,34.4,117,147.0,0,2,0,16,Omair Yousuf,QG,1,2023,2024,1,False
7,7,1,171,71.0,28.5,126,135.71,0,2,1,11,Najibullah Zadran,KK/QG,2,2021,2023,2,True
7,7,0,169,53.0,24.14,150,112.66,0,1,0,13,Umar Siddiq,MS,1,2019,2019,0,False
14,13,5,167,87.0,20.87,110,151.81,0,1,0,15,Aamer Jamal,PZ,1,2023,2024,1,False
9,9,1,164,80.0,20.5,160,102.5,0,1,0,17,EJG Morgan,KK/PZ,2,2017,2018,1,True
9,9,0,158,34.0,17.55,138,114.49,0,0,0,14,ADS Fletcher,PZ,1,2018,2019,1,False
11,11,2,153,43.0,17.0,178,85.95,0,0,1,11,Haris Sohail,LQ/PZ,2,2017,2019,2,False
34,16,3,153,35.0,11.76,115,133.04,0,0,3,8,Aamer Yamin,KK/LQ/PZ,3,2016,2023,7,True
13,10,3,152,27.0,21.71,103,147.57,0,0,0,14,DT Christian,KK/MS,2,2019,2021,2,False
47,18,9,151,25.0,16.77,94,160.63,0,0,3,11,Umaid Asif,KK/PZ/QG,3,2018,2023,5,False
5,5,0,148,48.0,29.6,118,125.42,0,0,0,16,J Weatherald,QG,1,2021,2021,0,False
33,20,7,145,17.0,11.15,119,121.84,0,0,1,10,Mohammad Wasim,IU/QG,2,2021,2024,3,True
44,24,7,144,32.0,8.47,149,96.64,0,0,4,7,Sohail Khan,KK/LQ/MS/PZ/QG,5,2016,2024,8,False
33,21,12,142,36.0,15.77,115,123.47,0,0,4,10,CJ Jordan,KK/MS/PZ,3,2017,2024,7,False
12,8,3,139,33.0,27.8,80,173.75,0,0,0,7,JP Faulkner,LQ/QG,2,2021,2022,1,False
13,12,2,139,40.0,13.9,134,103.73,0,0,2,8,GD Elliott,LQ/QG,2,2016,2017,1,False
9,9,1,138,65.0,17.25,106,130.18,0,1,1,13,MM Ali,MS,1,2020,2020,0,False
8,8,0,137,47.0,17.12,114,120.17,0,0,0,10,SD Hope,LQ,1,2023,2024,1,False
