team,overs,rr,inns,opposition,ground,runs,wickets,match_date,match_year,won
Peshawar Zalmi,20.0,9.95,2,Quetta Gladiators,Sharjah,199,9,2017-02-28,2017,False
Multan Sultans,20.0,9.95,1,Quetta Gladiators,Multan,199,5,2020-02-29,2020,True
Karachi Kings,18.5,10.51,2,Multan Sultans,Karachi,198,3,2021-02-27,2021,True
Quetta Gladiators,20.0,9.9,1,Peshawar Zalmi,Karachi,198,7,2021-02-26,2021,False
Lahore Qalandars,20.0,9.9,1,Quetta Gladiators,Karachi,198,6,2023-02-21,2023,True
Islamabad United,20.0,9.9,1,Lahore Qalandars,Lahore,198,3,2020-03-04,2020,True
Peshawar Zalmi,19.0,10.36,2,Multan Sultans,Karachi,197,4,2021-02-23,2021,True
Islamabad United,19.1,10.27,2,Karachi Kings,Karachi,197,5,2021-02-24,2021,True
Islamabad United,19.4,10.01,2,Multan Sultans,Karachi,197,10,2022-02-01,2022,False
Karachi Kings,20.0,9.85,2,Peshawar Zalmi,Karachi,197,5,2023-02-14,2023,False
Lahore Qalandars,20.0,9.85,1,Islamabad United,Lahore,197,6,2022-02-19,2022,True
Peshawar Zalmi,20.0,9.85,1,Karachi Kings,Rawalpindi,197,5,2023-03-01,2023,True
Peshawar Zalmi,20.0,9.85,1,Quetta Gladiators,Abu Dhabi,197,5,2021-06-12,2021,True
Karachi Kings,20.0,9.8,1,Islamabad United,Karachi,196,3,2021-02-24,2021,False
Islamabad United,20.0,9.8,2,Peshawar Zalmi,Lahore,196,7,2022-02-17,2022,False
Karachi Kings,20.0,9.8,1,Lahore Qalandars,Lahore,196,7,2023-03-12,2023,True
Islamabad United,20.0,9.8,1,Peshawar Zalmi,Rawalpindi,196,4,2024-03-04,2024,True
Peshawar Zalmi,20.0,9.8,1,Quetta Gladiators,Rawalpindi,196,8,2024-03-08,2024,True
Multan Sultans,20.0,9.8,1,Karachi Kings,Multan,196,2,2023-02-22,2023,True
Multan Sultans,20.0,9.75,1,Karachi Kings,Karachi,195,6,2021-02-27,2021,False
Lahore Qalandars,20.0,9.75,1,Islamabad United,Lahore,195,5,2024-02-17,2024,False
Islamabad United,20.0,9.75,1,Peshawar Zalmi,Rawalpindi,195,5,2020-03-07,2020,False
Lahore Qalandars,20.0,9.7,1,Quetta Gladiators,Dubai (DICS),194,3,2016-02-08,2016,True
Multan Sultans,20.0,9.65,1,Peshawar Zalmi,Karachi,193,4,2021-02-23,2021,False
Peshawar Zalmi,20.0,9.65,1,Karachi Kings,Lahore,193,6,2022-02-13,2022,True
Islamabad United,20.0,9.65,2,Peshawar Zalmi,Lahore,193,9,2024-02-26,2024,False
Karachi Kings,20.0,9.65,2,Multan Sultans,Multan,193,5,2023-02-22,2023,False
Islamabad United,18.4,10.23,2,Karachi Kings,Abu Dhabi,191,2,2021-06-14,2021,True
Lahore Qalandars,18.5,10.14,2,Multan Sultans,Lahore,191,1,2020-03-15,2020,True
Karachi Kings,19.3,9.79,2,Peshawar Zalmi,Karachi,191,4,2021-03-03,2021,True
Peshawar Zalmi,19.4,9.71,2,Quetta Gladiators,Karachi,191,5,2022-01-28,2022,True
Peshawar Zalmi,20.0,9.55,2,Karachi Kings,Karachi,191,7,2020-02-21,2020,False
Islamabad United,20.0,9.55,1,Karachi Kings,Lahore,191,7,2022-02-14,2022,True
Lahore Qalandars,19.1,9.91,2,Karachi Kings,Lahore,190,2,2020-03-08,2020,True
Quetta Gladiators,19.4,9.66,2,Islamabad United,Rawalpindi,190,5,2020-02-27,2020,True
Karachi Kings,20.0,9.5,1,Quetta Gladiators,Karachi,190,5,2019-03-10,2019,True
Quetta Gladiators,20.0,9.5,1,Peshawar Zalmi,Karachi,190,4,2022-01-28,2022,False
Karachi Kings,20.0,9.5,2,Islamabad United,Lahore,190,8,2022-02-14,2022,False
Peshawar Zalmi,20.0,9.5,2,Quetta Gladiators,Lahore,190,6,2024-02-18,2024,False
Multan Sultans,20.0,9.5,1,Islamabad United,Multan,190,4,2023-02-19,2023,True
Karachi Kings,20.0,9.5,1,Islamabad United,Abu Dhabi,190,4,2021-06-14,2021,False
Peshawar Zalmi,20.0,9.5,1,Islamabad United,Dubai (DICS),190,9,2017-02-09,2017,False
