team,overs,rr,inns,opposition,ground,runs,wickets,match_date,match_year,won,run_rate,is_explosive,innings_type,explosive_win,era
Peshawar Zalmi,20.0,10.55,1,Lahore Qalandars,Lahore,211,4,2024-02-25,2024,True,10.55,False,Batting First,False,Modern PSL (2022-24)
Multan Sultans,20.0,10.5,1,Peshawar Zalmi,Multan,210,3,2023-02-17,2023,True,10.5,False,Batting First,False,Modern PSL (2022-24)
Multan Sultans,19.4,10.62,2,Lahore Qalandars,Karachi,209,5,2022-01-29,2022,True,10.62,False,Chasing,False,Modern PSL (2022-24)
Islamabad United,19.5,10.53,2,Multan Sultans,Rawalpindi,209,8,2023-03-07,2023,True,10.53,False,Chasing,False,Modern PSL (2022-24)
Lahore Qalandars,20.0,10.45,1,Quetta Gladiators,Lahore,209,5,2020-03-03,2020,True,10.45,False,Batting First,False,Mid PSL (2019-21)
Quetta Gladiators,19.3,10.61,2,Lahore Qalandars,Karachi,207,3,2022-02-07,2022,True,10.61,False,Chasing,False,Modern PSL (2022-24)
Peshawar Zalmi,19.3,10.61,1,Lahore Qalandars,Rawalpindi,207,10,2023-03-07,2023,True,10.61,False,Batting First,False,Modern PSL (2022-24)
Lahore Qalandars,20.0,10.3,1,Multan Sultans,Karachi,206,5,2022-01-29,2022,False,10.3,False,Batting First,False,Modern PSL (2022-24)
Peshawar Zalmi,20.0,10.3,1,Islamabad United,Lahore,206,8,2022-02-17,2022,True,10.3,False,Batting First,False,Modern PSL (2022-24)
Quetta Gladiators,20.0,10.3,1,Peshawar Zalmi,Lahore,206,5,2024-02-18,2024,True,10.3,False,Batting First,False,Modern PSL (2022-24)
Multan Sultans,20.0,10.3,1,Peshawar Zalmi,Abu Dhabi,206,4,2021-06-24,2021,True,10.3,False,Batting First,False,Mid PSL (2019-21)
Multan Sultans,20.0,10.25,1,Islamabad United,Rawalpindi,205,5,2023-03-07,2023,False,10.25,False,Batting First,False,Modern PSL (2022-24)
Islamabad United,19.2,10.55,2,Karachi Kings,Rawalpindi,204,4,2023-03-03,2023,True,10.55,False,Chasing,False,Modern PSL (2022-24)
Lahore Qalandars,20.0,10.2,1,Quetta Gladiators,Karachi,204,5,2022-02-07,2022,False,10.2,False,Batting First,False,Modern PSL (2022-24)
Lahore Qalandars,20.0,10.2,2,Multan Sultans,Sharjah,204,4,2019-02-22,2019,True,10.2,False,Chasing,False,Mid PSL (2019-21)
Peshawar Zalmi,20.0,10.2,1,Multan Sultans,Rawalpindi,204,5,2024-03-05,2024,True,10.2,False,Batting First,False,Modern PSL (2022-24)
Quetta Gladiators,19.4,10.32,2,Islamabad United,Lahore,203,5,2022-02-12,2022,True,10.32,False,Chasing,False,Modern PSL (2022-24)
Peshawar Zalmi,20.0,10.15,1,Karachi Kings,Karachi,203,7,2019-03-11,2019,True,10.15,False,Batting First,False,Mid PSL (2019-21)
Lahore Qalandars,20.0,10.15,2,Peshawar Zalmi,Lahore,203,6,2024-02-25,2024,False,10.15,False,Chasing,False,Modern PSL (2022-24)
Quetta Gladiators,20.0,10.15,2,Lahore Qalandars,Dubai (DICS),203,8,2016-02-16,2016,True,10.15,False,Chasing,False,Early PSL (2016-18)
Quetta Gladiators,18.5,10.72,2,Lahore Qalandars,Sharjah,202,5,2017-02-18,2017,True,10.72,False,Chasing,False,Early PSL (2016-18)
Peshawar Zalmi,19.3,10.35,2,Quetta Gladiators,Karachi,202,7,2021-02-26,2021,True,10.35,False,Chasing,False,Mid PSL (2019-21)
Karachi Kings,20.0,10.05,1,Peshawar Zalmi,Karachi,201,4,2020-02-21,2020,True,10.05,False,Batting First,False,Mid PSL (2019-21)
Peshawar Zalmi,20.0,10.05,2,Lahore Qalandars,Lahore,201,9,2023-02-26,2023,False,10.05,False,Chasing,False,Modern PSL (2022-24)
Peshawar Zalmi,20.0,10.05,1,Islamabad United,Lahore,201,5,2024-02-26,2024,True,10.05,False,Batting First,False,Modern PSL (2022-24)
Karachi Kings,20.0,10.05,1,Islamabad United,Rawalpindi,201,5,2023-03-03,2023,False,10.05,False,Batting First,False,Modern PSL (2022-24)
Lahore Qalandars,20.0,10.05,1,Quetta Gladiators,Dubai (DICS),201,2,2016-02-16,2016,False,10.05,False,Batting First,False,Early PSL (2016-18)
Islamabad United,18.2,10.9,2,Lahore Qalandars,Lahore,200,2,2024-02-17,2024,True,10.9,False,Chasing,False,Modern PSL (2022-24)
Lahore Qalandars,20.0,10.0,1,Islamabad United,Lahore,200,7,2023-02-27,2023,True,10.0,False,Batting First,False,Modern PSL (2022-24)
Lahore Qalandars,20.0,10.0,1,Multan Sultans,Lahore,200,6,2023-03-18,2023,True,10.0,False,Batting First,False,Modern PSL (2022-24)
Lahore Qalandars,20.0,10.0,1,Quetta Gladiators,Sharjah,200,3,2017-02-18,2017,False,10.0,False,Batting First,False,Early PSL (2016-18)
Quetta Gladiators,20.0,10.0,1,Peshawar Zalmi,Sharjah,200,7,2017-02-28,2017,True,10.0,False,Batting First,False,Early PSL (2016-18)
Multan Sultans,20.0,10.0,1,Lahore Qalandars,Sharjah,200,6,2019-02-22,2019,False,10.0,False,Batting First,False,Mid PSL (2019-21)
Multan Sultans,20.0,10.0,2,Peshawar Zalmi,Rawalpindi,200,5,2024-03-05,2024,False,10.0,False,Chasing,False,Modern PSL (2022-24)
Lahore Qalandars,20.0,9.95,1,Peshawar Zalmi,Karachi,199,4,2022-02-02,2022,True,9.95,False,Batting First,False,Modern PSL (2022-24)
Peshawar Zalmi,20.0,9.95,1,Karachi Kings,Karachi,199,5,2023-02-14,2023,True,9.95,False,Batting First,False,Modern PSL (2022-24)
Islamabad United,20.0,9.95,1,Quetta Gladiators,Lahore,199,8,2022-02-12,2022,False,9.95,False,Batting First,False,Modern PSL (2022-24)
Multan Sultans,20.0,9.95,2,Lahore Qalandars,Lahore,199,8,2023-03-18,2023,False,9.95,False,Chasing,False,Modern PSL (2022-24)
Peshawar Zalmi,20.0,9.95,2,Quetta Gladiators,Sharjah,199,9,2017-02-28,2017,False,9.95,False,Chasing,False,Early PSL (2016-18)
Multan Sultans,20.0,9.95,1,Quetta Gladiators,Multan,199,5,2020-02-29,2020,True,9.95,False,Batting First,False,Mid PSL (2019-21)
Karachi Kings,18.5,10.51,2,Multan Sultans,Karachi,198,3,2021-02-27,2021,True,10.51,False,Chasing,False,Mid PSL (2019-21)
Quetta Gladiators,20.0,9.9,1,Peshawar Zalmi,Karachi,198,7,2021-02-26,2021,False,9.9,False,Batting First,False,Mid PSL (2019-21)
Lahore Qalandars,20.0,9.9,1,Quetta Gladiators,Karachi,198,6,2023-02-21,2023,True,9.9,False,Batting First,False,Modern PSL (2022-24)
Islamabad United,20.0,9.9,1,Lahore Qalandars,Lahore,198,3,2020-03-04,2020,True,9.9,False,Batting First,False,Mid PSL (2019-21)
Peshawar Zalmi,19.0,10.36,2,Multan Sultans,Karachi,197,4,2021-02-23,2021,True,10.36,False,Chasing,False,Mid PSL (2019-21)
Islamabad United,19.1,10.27,2,Karachi Kings,Karachi,197,5,2021-02-24,2021,True,10.27,False,Chasing,False,Mid PSL (2019-21)
Islamabad United,19.4,10.01,2,Multan Sultans,Karachi,197,10,2022-02-01,2022,False,10.01,False,Chasing,False,Modern PSL (2022-24)
Karachi Kings,20.0,9.85,2,Peshawar Zalmi,Karachi,197,5,2023-02-14,2023,False,9.85,False,Chasing,False,Modern PSL (2022-24)
Lahore Qalandars,20.0,9.85,1,Islamabad United,Lahore,197,6,2022-02-19,2022,True,9.85,False,Batting First,False,Modern PSL (2022-24)
Peshawar Zalmi,20.0,9.85,1,Karachi Kings,Rawalpindi,197,5,2023-03-01,2023,True,9.85,False,Batting First,False,Modern PSL (2022-24)
Peshawar Zalmi,20.0,9.85,1,Quetta Gladiators,Abu Dhabi,197,5,2021-06-12,2021,True,9.85,False,Batting First,False,Mid PSL (2019-21)
Karachi Kings,20.0,9.8,1,Islamabad United,Karachi,196,3,2021-02-24,2021,False,9.8,False,Batting First,False,Mid PSL (2019-21)
Islamabad United,20.0,9.8,2,Peshawar Zalmi,Lahore,196,7,2022-02-17,2022,False,9.8,False,Chasing,False,Modern PSL (2022-24)
Karachi Kings,20.0,9.8,1,Lahore Qalandars,Lahore,196,7,2023-03-12,2023,True,9.8,False,Batting First,False,Modern PSL (2022-24)
Islamabad United,20.0,9.8,1,Peshawar Zalmi,Rawalpindi,196,4,2024-03-04,2024,True,9.8,False,Batting First,False,Modern PSL (2022-24)
Peshawar Zalmi,20.0,9.8,1,Quetta Gladiators,Rawalpindi,196,8,2024-03-08,2024,True,9.8,False,Batting First,False,Modern PSL (2022-24)
Multan Sultans,20.0,9.8,1,Karachi Kings,Multan,196,2,2023-02-22,2023,True,9.8,False,Batting First,False,Modern PSL (2022-24)
Multan Sultans,20.0,9.75,1,Karachi Kings,Karachi,195,6,2021-02-27,2021,False,9.75,False,Batting First,False,Mid PSL (2019-21)
Lahore Qalandars,20.0,9.75,1,Islamabad United,Lahore,195,5,2024-02-17,2024,False,9.75,False,Batting First,False,Modern PSL (2022-24)
Islamabad United,20.0,9.75,1,Peshawar Zalmi,Rawalpindi,195,5,2020-03-07,2020,False,9.75,False,Batting First,False,Mid PSL (2019-21)
Lahore Qalandars,20.0,9.7,1,Quetta Gladiators,Dubai (DICS),194,3,2016-02-08,2016,True,9.7,False,Batting First,False,Early PSL (2016-18)
Multan Sultans,20.0,9.65,1,Peshawar Zalmi,Karachi,193,4,2021-02-23,2021,False,9.65,False,Batting First,False,Mid PSL (2019-21)
Peshawar Zalmi,20.0,9.65,1,Karachi Kings,Lahore,193,6,2022-02-13,2022,True,9.65,False,Batting First,False,Modern PSL (2022-24)
Islamabad United,20.0,9.65,2,Peshawar Zalmi,Lahore,193,9,2024-02-26,2024,False,9.65,False,Chasing,False,Modern PSL (2022-24)
Karachi Kings,20.0,9.65,2,Multan Sultans,Multan,193,5,2023-02-22,2023,False,9.65,False,Chasing,False,Modern PSL (2022-24)
Islamabad United,18.4,10.23,2,Karachi Kings,Abu Dhabi,191,2,2021-06-14,2021,True,10.23,False,Chasing,False,Mid PSL (2019-21)
Lahore Qalandars,18.5,10.14,2,Multan Sultans,Lahore,191,1,2020-03-15,2020,True,10.14,False,Chasing,False,Mid PSL (2019-21)
Karachi Kings,19.3,9.79,2,Peshawar Zalmi,Karachi,191,4,2021-03-03,2021,True,9.79,False,Chasing,False,Mid PSL (2019-21)
Peshawar Zalmi,19.4,9.71,2,Quetta Gladiators,Karachi,191,5,2022-01-28,2022,True,9.71,False,Chasing,False,Modern PSL (2022-24)
Peshawar Zalmi,20.0,9.55,2,Karachi Kings,Karachi,191,7,2020-02-21,2020,False,9.55,False,Chasing,False,Mid PSL (2019-21)
Islamabad United,20.0,9.55,1,Karachi Kings,Lahore,191,7,2022-02-14,2022,True,9.55,False,Batting First,False,Modern PSL (2022-24)
Lahore Qalandars,19.1,9.91,2,Karachi Kings,Lahore,190,2,2020-03-08,2020,True,9.91,False,Chasing,False,Mid PSL (2019-21)
Quetta Gladiators,19.4,9.66,2,Islamabad United,Rawalpindi,190,5,2020-02-27,2020,True,9.66,False,Chasing,False,Mid PSL (2019-21)
Karachi Kings,20.0,9.5,1,Quetta Gladiators,Karachi,190,5,2019-03-10,2019,True,9.5,False,Batting First,False,Mid PSL (2019-21)
Quetta Gladiators,20.0,9.5,1,Peshawar Zalmi,Karachi,190,4,2022-01-28,2022,False,9.5,False,Batting First,False,Modern PSL (2022-24)
Karachi Kings,20.0,9.5,2,Islamabad United,Lahore,190,8,2022-02-14,2022,False,9.5,False,Chasing,False,Modern PSL (2022-24)
Peshawar Zalmi,20.0,9.5,2,Quetta Gladiators,Lahore,190,6,2024-02-18,2024,False,9.5,False,Chasing,False,Modern PSL (2022-24)
Multan Sultans,20.0,9.5,1,Islamabad United,Multan,190,4,2023-02-19,2023,True,9.5,False,Batting First,False,Modern PSL (2022-24)
Karachi Kings,20.0,9.5,1,Islamabad United,Abu Dhabi,190,4,2021-06-14,2021,False,9.5,False,Batting First,False,Mid PSL (2019-21)
Peshawar Zalmi,20.0,9.5,1,Islamabad United,Dubai (DICS),190,9,2017-02-09,2017,False,9.5,False,Batting First,False,Early PSL (2016-18)
